County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Good_to_Moderate_Ratio,Unhealthy_Days_Percentage,Average CO Value,Median CO Value,90th Percentile CO Value,Average NO2 Value,Median NO2 Value,90th Percentile NO2 Value,Average OZONE Value,Median OZONE Value,90th Percentile OZONE Value,Average PM2 Value,Median PM2 Value,90th Percentile PM2 Value,Average PM10 Value,Median PM10 Value,90th Percentile PM10 Value,90th Percentile Sum,Average 90th Percentile
Mecklenburg,1998,365.0,216.0,59.0,46.0,39.0,5.0,0.0,214.0,156.0,46.0,38.0,119.0,201.0,0.0,7.0,3.6610169491525424,24.65753424657534,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Mecklenburg,1999,365.0,84.0,208.0,43.0,27.0,3.0,0.0,210.0,143.0,64.0,0.0,16.0,129.0,220.0,0.0,0.4038461538461538,20.0,0.4006557377049179,0.4,7.0,17.3181512605042,16.5,26.0,0.0450065359477124,0.045,67.0,9.021608527131782,8.0,57.89999999999998,14.183254344391786,13.0,22.0,179.89999999999998,35.98
Wake,2000,366.0,125.0,176.0,51.0,13.0,1.0,0.0,209.0,119.0,60.0,8.0,0.0,153.0,201.0,4.0,0.7102272727272727,17.759562841530055,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2001,365.0,130.0,173.0,56.0,6.0,0.0,0.0,169.0,119.0,57.0,1.0,0.0,184.0,180.0,0.0,0.7514450867052023,16.986301369863014,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2002,365.0,150.0,154.0,38.0,17.0,6.0,0.0,205.0,129.0,54.0,2.0,0.0,182.0,180.0,1.0,0.974025974025974,16.71232876712329,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2003,363.0,151.0,182.0,24.0,5.0,1.0,0.0,210.0,90.0,53.0,7.0,0.0,123.0,233.0,0.0,0.8296703296703297,8.264462809917356,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2004,366.0,161.0,187.0,18.0,0.0,0.0,0.0,150.0,88.0,54.0,11.0,0.0,115.0,240.0,0.0,0.8609625668449198,4.918032786885246,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2005,365.0,152.0,176.0,32.0,5.0,0.0,0.0,161.0,101.0,55.0,0.0,0.0,151.0,214.0,0.0,0.8636363636363636,10.136986301369864,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2006,365.0,141.0,204.0,20.0,0.0,0.0,0.0,143.0,90.0,56.0,1.0,0.0,129.0,235.0,0.0,0.6911764705882353,5.47945205479452,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2007,365.0,154.0,177.0,32.0,2.0,0.0,0.0,166.0,100.0,55.0,0.0,0.0,170.0,195.0,0.0,0.8700564971751412,9.315068493150685,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2008,366.0,183.0,167.0,15.0,1.0,0.0,0.0,173.0,85.0,51.0,0.0,0.0,161.0,205.0,0.0,1.095808383233533,4.371584699453552,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2009,365.0,219.0,143.0,3.0,0.0,0.0,0.0,112.0,68.0,47.0,0.0,0.0,138.0,227.0,0.0,1.5314685314685317,0.821917808219178,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2010,365.0,183.0,173.0,9.0,0.0,0.0,0.0,143.0,80.0,50.0,0.0,0.0,185.0,180.0,0.0,1.0578034682080926,2.4657534246575343,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2011,365.0,209.0,133.0,21.0,2.0,0.0,0.0,156.0,87.0,47.0,0.0,0.0,200.0,165.0,0.0,1.5714285714285714,6.301369863013699,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2012,366.0,247.0,112.0,6.0,1.0,0.0,0.0,161.0,64.0,44.0,0.0,0.0,180.0,186.0,0.0,2.205357142857143,1.912568306010929,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2013,365.0,248.0,117.0,0.0,0.0,0.0,0.0,90.0,62.0,44.0,0.0,0.0,129.0,236.0,0.0,2.1196581196581197,0.0,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2014,365.0,217.0,148.0,0.0,0.0,0.0,0.0,100.0,64.0,47.0,0.0,3.0,142.0,220.0,0.0,1.4662162162162162,0.0,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2015,365.0,233.0,129.0,3.0,0.0,0.0,0.0,105.0,64.0,45.0,0.0,2.0,177.0,186.0,0.0,1.806201550387597,0.821917808219178,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2016,366.0,238.0,125.0,3.0,0.0,0.0,0.0,135.0,64.0,46.0,0.0,2.0,179.0,185.0,0.0,1.904,0.819672131147541,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2017,365.0,252.0,113.0,0.0,0.0,0.0,0.0,100.0,61.0,44.0,0.0,5.0,161.0,199.0,0.0,2.230088495575221,0.0,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2018,361.0,246.0,115.0,0.0,0.0,0.0,0.0,90.0,61.0,44.0,1.0,0.0,150.0,210.0,0.0,2.139130434782609,0.0,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2019,365.0,245.0,120.0,0.0,0.0,0.0,0.0,93.0,61.0,46.0,1.0,1.0,175.0,188.0,0.0,2.0416666666666665,0.0,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2020,365.0,284.0,80.0,1.0,0.0,0.0,0.0,101.0,56.0,38.0,1.0,2.0,168.0,194.0,0.0,3.55,0.273972602739726,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2021,365.0,268.0,97.0,0.0,0.0,0.0,0.0,96.0,61.0,42.0,0.0,2.0,194.0,169.0,0.0,2.7628865979381443,0.0,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,2022,274.0,226.0,47.0,1.0,0.0,0.0,0.0,122.0,54.0,42.0,1.0,0.0,203.0,70.0,0.0,4.808510638297872,0.364963503649635,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1980,265.0,76.0,91.0,69.0,27.0,2.0,0.0,204.0,151.0,77.0,96.0,0.0,169.0,0.0,0.0,0.8351648351648352,36.9811320754717,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1981,363.0,168.0,162.0,25.0,8.0,0.0,0.0,177.0,97.0,53.0,239.0,0.0,124.0,0.0,0.0,1.037037037037037,9.090909090909092,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1982,265.0,139.0,90.0,30.0,5.0,1.0,0.0,203.0,108.0,50.0,106.0,0.0,159.0,0.0,0.0,1.5444444444444445,13.58490566037736,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1983,331.0,104.0,158.0,51.0,16.0,2.0,0.0,208.0,129.0,68.0,197.0,0.0,134.0,0.0,0.0,0.6582278481012658,20.84592145015106,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1984,361.0,117.0,195.0,38.0,7.0,4.0,0.0,222.0,115.0,61.0,260.0,0.0,101.0,0.0,0.0,0.6,13.573407202216067,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1985,365.0,134.0,186.0,41.0,3.0,1.0,0.0,202.0,105.0,59.0,227.0,0.0,138.0,0.0,0.0,0.7204301075268817,12.32876712328767,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1986,365.0,91.0,197.0,61.0,16.0,0.0,0.0,190.0,126.0,70.0,245.0,0.0,119.0,0.0,1.0,0.4619289340101523,21.095890410958905,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1987,359.0,153.0,151.0,43.0,10.0,2.0,0.0,208.0,119.0,57.0,195.0,0.0,157.0,0.0,7.0,1.0132450331125828,15.32033426183844,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1988,366.0,146.0,143.0,44.0,18.0,15.0,0.0,227.0,147.0,58.0,186.0,0.0,177.0,0.0,3.0,1.020979020979021,21.03825136612022,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1989,365.0,217.0,110.0,30.0,8.0,0.0,0.0,185.0,101.0,47.0,182.0,7.0,174.0,0.0,2.0,1.9727272727272729,10.41095890410959,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1990,365.0,178.0,130.0,44.0,12.0,1.0,0.0,206.0,119.0,51.0,140.0,31.0,194.0,0.0,0.0,1.3692307692307693,15.616438356164384,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1991,365.0,181.0,152.0,28.0,4.0,0.0,0.0,179.0,97.0,51.0,135.0,43.0,186.0,0.0,1.0,1.1907894736842106,8.767123287671232,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1992,366.0,240.0,108.0,18.0,0.0,0.0,0.0,147.0,87.0,43.0,104.0,78.0,182.0,0.0,2.0,2.2222222222222223,4.918032786885246,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1993,365.0,198.0,112.0,41.0,14.0,0.0,0.0,192.0,115.0,47.0,112.0,57.0,195.0,0.0,1.0,1.7678571428571428,15.068493150684931,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1994,365.0,213.0,110.0,31.0,11.0,0.0,0.0,197.0,108.0,46.0,159.0,0.0,202.0,0.0,4.0,1.9363636363636365,11.506849315068491,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1995,365.0,223.0,85.0,43.0,14.0,0.0,0.0,185.0,115.0,44.0,160.0,0.0,203.0,0.0,2.0,2.623529411764706,15.616438356164384,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1996,366.0,219.0,94.0,38.0,15.0,0.0,0.0,187.0,119.0,46.0,157.0,0.0,201.0,0.0,8.0,2.3297872340425534,14.48087431693989,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1997,365.0,200.0,88.0,54.0,22.0,1.0,0.0,209.0,136.0,47.0,154.0,0.0,207.0,0.0,4.0,2.272727272727273,21.095890410958905,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1998,365.0,199.0,76.0,43.0,40.0,7.0,0.0,215.0,156.0,47.0,152.0,0.0,208.0,0.0,5.0,2.6184210526315788,24.65753424657534,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
Wake,1999,363.0,134.0,156.0,41.0,23.0,9.0,0.0,220.0,143.0,58.0,21.0,0.0,161.0,181.0,0.0,0.8589743589743589,20.110192837465565,0.3650735294117646,0.4,6.0,14.964312267657991,13.9,24.0,0.0416187499999999,0.0415,51.0,9.511730205278592,8.3,57.89999999999998,17.12890625,16.0,25.0,163.89999999999998,32.779999999999994
